RecordID,d_1,d_15,d_16,d_2,d_20,d_21,d_3,d_4,d_5,d_6,d_7,d_8,Intention_to_leave,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_2,q_20,q_21,q_22,q_23,q_24,q_25,q_26,q_27,q_28,q_29,q_3,q_30,q_31,q_32,q_33,q_34,q_35,q_36,q_37,q_38,q_39,q_4,q_40,q_41,q_42,q_43,q_44,q_45,q_46,q_47,q_48,q_49,q_5,q_50,q_51,q_52,q_53,q_54,q_55,q_6,q_7,q_8,q_9
10079,2,2,4,1,7,2,2,2,1,1,2,1,0,2,1,2,1,2,2,2,3,1,2,2,2,2,2,2,1,1,1,3,,,2,,,,2,2,3,3,2,2,1,2,1,1,2,2,2,3,3,3,2,3,2,4,1,3,2,3,4,2,2,3,1
1008,2,1,4,1,,3,1,2,1,1,2,,1,2,2,5,5,4,4,4,2,1,5,2,5,4,4,1,3,3,5,4,,,2,,,,2,4,2,2,5,4,1,5,3,1,4,2,2,3,2,4,3,2,4,2,2,2,4,2,3,4,3,5,3
10080,2,2,4,1,7,3,2,2,1,1,1,1,0,1,5,1,5,5,3,1,5,1,2,1,3,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,2,1,2,2,1,5,2,1,2,2,1,1,2,2,1,1,1,5,5,2,1,1,5,1,2,3,1
10081,5,2,,1,1,2,1,2,,2,,1,1,3,4,2,2,3,3,4,4,4,5,3,5,5,5,3,5,5,5,5,,,1,,,,3,5,4,3,5,5,3,3,5,4,4,2,2,4,3,1,2,3,1,4,4,4,3,3,3,5,4,4,3
10082,2,1,4,1,1,3,,2,15,2,1,1,1,5,3,5,5,2,5,1,5,1,4,5,3,1,5,3,1,1,5,5,5,1,1,1,5,1,1,1,5,5,1,1,5,4,1,1,5,5,5,1,5,5,1,2,5,5,5,5,5,5,5,5,1,5,1
10083,2,1,4,1,1,1,2,2,8,2,2,1,0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,,,1,,,,2,2,2,4,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2
10084,5,4,4,1,,1,2,2,1,2,2,1,0,2,3,2,1,2,3,1,2,2,2,2,2,2,1,4,3,2,2,2,,,3,,,,2,1,1,2,2,2,1,2,2,1,1,3,2,3,3,2,2,3,2,4,3,1,2,3,4,1,3,4,2
10085,2,2,4,1,7,1,2,2,1,2,2,1,1,3,5,4,4,3,3,3,3,2,3,1,2,4,4,2,2,3,2,4,2,2,2,3,4,4,3,3,3,4,3,3,2,3,4,2,2,3,2,4,4,3,4,5,3,5,3,3,4,3,4,1,2,3,2
10086,3,5,4,1,25,2,1,1,1,1,2,2,1,2,1,2,1,4,2,4,4,1,2,2,2,2,2,1,1,1,1,1,,,2,,,,4,2,2,2,4,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,4,3,2,4,2
10087,3,4,4,2,27,2,2,2,1,2,1,,0,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,2,1
10088,2,2,4,1,1,2,2,2,6,2,1,1,1,5,1,4,1,5,1,5,5,5,5,1,2,5,5,2,3,5,1,3,,,1,,,,1,2,5,5,1,2,2,5,5,4,1,1,2,2,5,4,1,2,1,5,1,5,4,5,1,3,1,4,5
